lr-AdamW,step,val_loss,val_acc_top1,val_acc_top5,val_acc_mean_pos,epoch,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos
0.0003,0,,,,,,,,,
,43,3.0754761695861816,0.4376331567764282,0.6327015161514282,22.157581329345703,0,,,,
5.999999999999999e-06,44,,,,,,,,,
,49,,,,,1,2.9849090576171875,0.427734375,0.65234375,17.7763671875
,89,3.0225422382354736,0.43032437562942505,0.634765625,20.257705688476562,1,,,,
0.0003,90,,,,,,,,,
,99,,,,,2,2.5219790935516357,0.509765625,0.7294921875,9.921875
,136,2.108860969543457,0.5829454660415649,0.7906416058540344,8.12242317199707,2,,,,
5.999999999999999e-06,137,,,,,,,,,
,149,,,,,3,2.158694267272949,0.58984375,0.7705078125,7.607421875
,181,1.9600212574005127,0.6041883826255798,0.7931423783302307,10.05408000946045,3,,,,
0.0003,182,,,,,,,,,
,199,,,,,4,1.6911077499389648,0.6259765625,0.828125,5.5224609375
,225,1.560384750366211,0.6767799854278564,0.8537375926971436,6.753329277038574,4,,,,
